File, Function, Calls, TimeInh, MemInh
node10.prof, processTXs', 1061, 21.9, 21.4
node10.prof, validateTransaction, 1010, 15.0, 19.7
node10.prof, mint', 50, 1.2, 1.7
node1.prof, processTXs', 1061, 17.7, 21.6
node1.prof, validateTransaction, 1010, 12.8, 18.8
node1.prof, mint', 50, 1.6, 2.7
node2.prof, processTXs', 1061, 17.1, 20.2
node2.prof, validateTransaction, 1010, 12.1, 18.0
node2.prof, mint', 50, 1.5, 2.2
node3.prof, processTXs', 1061, 18.5, 20.1
node3.prof, validateTransaction, 1010, 12.9, 17.9
node3.prof, mint', 50, 1.3, 2.2
node4.prof, processTXs', 1061, 18.6, 20.7
node4.prof, validateTransaction, 1010, 13.1, 18.4
node4.prof, mint', 50, 1.2, 2.3
node5.prof, processTXs', 1061, 21.9, 22.7
node5.prof, validateTransaction, 1010, 14.5, 19.8
node5.prof, mint', 50, 1.4, 2.8
node6.prof, processTXs', 1060, 18.9, 18.5
node6.prof, validateTransaction, 1010, 12.7, 18.0
node6.prof, mint', 49, 0.7, 0.4
node7.prof, processTXs', 1061, 24.5, 21.1
node7.prof, validateTransaction, 1010, 17.2, 19.1
node7.prof, mint', 50, 1.6, 2.0
node8.prof, processTXs', 1058, 20.0, 20.4
node8.prof, validateTransaction, 1010, 13.7, 19.5
node8.prof, mint', 47, 0.7, 0.9
node9.prof, processTXs', 1061, 19.5, 20.7
node9.prof, validateTransaction, 1010, 13.0, 18.5
node9.prof, mint', 50, 1.6, 2.1
